2.000000e-01 1.227509e+01 1.356538e+00 
2.162765e-01 1.009391e+01 1.193866e+00 
2.338777e-01 8.314907e+00 1.051885e+00 
2.529113e-01 6.863052e+00 9.278526e-01 
2.734939e-01 5.677400e+00 8.193855e-01 
2.957515e-01 4.708398e+00 7.244102e-01 
3.198206e-01 3.915263e+00 6.410542e-01 
3.458484e-01 3.265840e+00 5.678389e-01 
3.739945e-01 2.733586e+00 5.034362e-01 
4.044311e-01 2.296742e+00 4.466763e-01 
4.373448e-01 1.937838e+00 3.965966e-01 
4.729371e-01 1.642438e+00 3.523366e-01 
5.114260e-01 1.398691e+00 3.131414e-01 
5.530472e-01 1.196995e+00 2.783757e-01 
5.980556e-01 1.029479e+00 2.478975e-01 
6.467270e-01 8.897261e-01 2.213192e-01 
6.993594e-01 7.724449e-01 1.975077e-01 
7.562751e-01 6.734099e-01 1.761433e-01 
8.178228e-01 5.891668e-01 1.569357e-01 
8.843794e-01 5.169412e-01 1.396304e-01 
9.563525e-01 4.545462e-01 1.240120e-01 
1.034183e+00 4.002492e-01 1.099938e-01 
1.118348e+00 3.526856e-01 9.785333e-02 
1.209362e+00 3.107949e-01 8.676343e-02 
1.307783e+00 2.737448e-01 7.663407e-02 
1.414214e+00 2.408835e-01 6.770143e-02 
1.529306e+00 2.116911e-01 5.969631e-02 
1.653765e+00 1.857472e-01 5.242590e-02 
1.788353e+00 1.627016e-01 4.606424e-02 
1.933894e+00 1.422561e-01 4.031226e-02 
2.091279e+00 1.241500e-01 3.522592e-02 
2.261473e+00 1.081502e-01 3.073861e-02 
2.445518e+00 9.404548e-02 2.675220e-02 
2.644540e+00 8.164216e-02 2.323841e-02 
2.859760e+00 7.076223e-02 2.015524e-02 
3.092495e+00 6.124184e-02 1.745673e-02 
3.344170e+00 5.293052e-02 1.509812e-02 
3.616328e+00 4.569061e-02 1.303819e-02 
3.910634e+00 3.939686e-02 1.119077e-02 
4.228892e+00 3.393587e-02 9.523944e-03 
4.573051e+00 2.920551e-02 8.041486e-03 
4.945218e+00 2.511437e-02 6.740265e-03 
5.347672e+00 2.158096e-02 5.611795e-03 
5.782880e+00 1.853302e-02 4.643785e-03 
6.253506e+00 1.590675e-02 3.821578e-03 
6.762433e+00 1.364601e-02 3.129377e-03 
7.312778e+00 1.170160e-02 2.551222e-03 
7.907911e+00 1.003053e-02 2.071709e-03 
8.551478e+00 8.595310e-03 1.676478e-03 
9.247420e+00 7.363378e-03 1.352496e-03 
1.000000e+01 6.306471e-03 1.088195e-03 
